MICHELIN_NM,FCLTY_NM,RDNMADR_NM,AREA_NM,CTPRVN_ENG_NM,SIGNGU_ENGL_NM,CTPRVN_JLANG_NM,SIGNGU_JLANG_NM,CTPRVN_SIMCH_CHNLNG_NM,SIGNGU_SIMCH_CHNLNG_NM,SIGNGU_TRACH_CHNLNG_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,HMPG_URL,TEL_NO,REPRSNT_MENU_NM,FOOD_SPND_PRICE,BASE_DE
더플레이트미쉐린,시옷,"서울특별시 강남구 도산대로 92길 42, 지하 1층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.049401,37.521996,,02-547-0467,프렌치,"99,000 - 165,000",2021-12-31
1스타 미쉐린,익스퀴진,서울특별시 강남구 삼성로 140길 6,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.04965,37.521025,,02-542-6921,창작,"55,000 - 110,000",2021-12-31
더플레이트미쉐린,외고집설렁탕,서울특별시 강남구 삼성로 555,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.053906,37.511022,,02-567-5225,설렁탕,"11,000 - 65,000",2021-12-31
빕구르망,피양콩할마니,서울특별시 강남구 삼성로 81길 30,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.055248,37.504121,,02-508-0476,두부,"7,500 - 40,000",2021-12-31
빕구르망,게방식당,서울특별시 강남구 선릉로 131길 17,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.039438,37.517284,,02-8479-1107,게장,"8,000 - 38,000",2021-12-31
더플레이트미쉐린,더그린테이블,"서울특별시 강남구 선릉로 155길 13, 2층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.038588,37.525342,www.thegreentable.co.kr,02-591-2672,프렌치컨템퍼러리,"60,000 - 250,000",2021-12-31
빕구르망,오통영,"서울특별시 강남구 선릉로 158길 10, 지하 1층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.040849,37.52545,,02-544-2377,한식,"11,000 - 68,000",2021-12-31
2스타 미쉐린,정식당,서울특별시 강남구 선릉로 158길 11,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.041095,37.525678,www.jungsik.kr,02-517-4654,코리아 컨템퍼러리,"73,000 - 220,000",2021-12-31
더플레이트미쉐린,비스트로드욘트빌,서울특별시 강남구 선릉로 158길 13-7,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.041237,37.526066,,02-541-1550,프렌치,"39,000 - 128,000",2021-12-31
더플레이트미쉐린,봉밀가,서울특별시 강남구 선릉로 664,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.042329,37.515902,,02-546-2305,냉면,"8,500 - 35,000",2021-12-31
더플레이트미쉐린,메종드라카테고리,서울특별시 강남구 선릉로 826,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.040203,37.525544,www.lacategorie.com,02-545-6640,프렌치,"50,000 - 100,000",2021-12-31
빕구르망,산동교자관,서울특별시 강남구 압구정로 214,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.030747,37.528008,,02-514-2608,중식,"7,000 - 120,000",2021-12-31
빕구르망,만두집,서울특별시 강남구 압구정로 338,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.038883,37.52793,,02-544-3710,만두,"10,000 - 60,000",2021-12-31
빕구르망,한일관,서울특별시 강남구 압구정로 38길 14,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.032504,37.527788,www.hanilkwan.co.kr,02-732-3735,한식,"11,000 - 66,000",2021-12-31
더플레이트미쉐린,구전동화,"서울특별시 강남구 압구정로 46길 26, 2층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.036213,37.527061,,02-2038-9961,바비큐,"120,000?",2021-12-31
더플레이트미쉐린,옳음,"서울특별시 강남구 압구정로 46길 51, 2층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.036044,37.525249,www.olheum.co.kr,02-549-2016,코리아 컨템퍼러리,"65,000 - 150,000",2021-12-31
2스타 미쉐린,코지마,"서울특별시 강남구 압구정로 60길 21, 분더샵 6층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.041964,37.525847,,02-2056-1291,스시,"150,000 - 380,000",2021-12-31
더플레이트미쉐린,볼트스테이크하우스,"서울특별시 강남구 압구정로 72길 22, 2층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.044984,37.525015,www.vaultsteakhouse.co.kr,02-544-9235,스테이크,"31,000 - 150,000?",2021-12-31
2스타 미쉐린,권숙수,"서울특별시 강남구 압구정로 80길 37, 4층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.043589,37.524382,www.kwonsooksoo.com,02-542-6268,한식,"77,000 - 195,000",2021-12-31
더플레이트미쉐린,고료리켄,"서울특별시 강남구 언주로 152길 15-3, 2층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.034805,37.523022,,02-511-7809,일식,"180,000",2021-12-31
더플레이트미쉐린,텐쇼,"서울특별시 강남구 언주로 152길 15-6, 3층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.034905,37.523203,,02-512-8678,템푸라,"70,000 - 150,000",2021-12-31
2스타 미쉐린,임프레션,"서울특별시 강남구 언주로 164길 24, 5층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.035487,37.525389,www.limpression.co.kr,02-6925-5522,창작,"90,000 - 180,000",2021-12-31
더플레이트미쉐린,파씨오네,"서울특별시 강남구 언주로 164길 39, 2층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.036754,37.525462,www.ipassionne.com,02-546-7719,프렌치,"45,000 - 80,000",2021-12-31
더플레이트미쉐린,스시마이,"서울특별시 강남구 언주로 168길 6, 2층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.033936,37.526349,www.sushimai.co.kr,02-6925-3126,스시,"110,000 - 300,000",2021-12-31
